,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
114,920970.BJ,20231124,5.1,21.5567,28.2622,4.64,31.2962,4681.057,1.8139,3.6178,3.2267,,,11136.04,5270.44,4019.98,56793.804,26879.244,0
115,601997.SH,20231124,5.15,0.8034,1.0808,1.26,3.0834,3.1498,0.3423,1.2037,1.2538,5.8252,5.8252,365619.8076,356902.6389,265303.4064,1882942.0091,1838048.5903,0
116,600201.SH,20231124,10.06,0.9202,1.0556,0.62,53.4987,39.0114,2.1169,7.373,6.8756,1.0741,0.5947,112036.9226,112036.9226,97668.94,1127091.4414,1127091.4414,0
117,002399.SZ,20231124,12.86,0.2522,1.1947,1.13,25.9524,86.561,1.521,2.6356,3.238,0.2722,0.7776,146729.6204,124720.1704,26326.689,1886942.9183,1603901.3913,0
118,000630.SZ,20231124,3.03,0.4751,0.7486,0.66,14.0571,11.1391,1.1987,0.315,0.2827,2.7426,1.3713,1266700.9987,1052638.2051,668063.5587,3838104.0261,3189493.7615,0
119,002899.SZ,20231124,16.79,2.405,3.6376,0.8,30.6832,18.5308,1.6444,2.4431,2.1994,0.131,0.3752,12000.0,12000.0,7933.8,201480.0,201480.0,0
120,002780.SZ,20231124,13.35,5.1983,5.545,0.65,,162.649,3.1676,3.741,2.8356,0.0,,15758.7486,13065.2734,12248.3672,210379.2938,174421.3999,0
121,000999.SZ,20231124,50.0,1.2123,3.3333,1.38,20.1769,17.0431,2.6706,2.7329,2.0104,1.7038,2.0003,98818.4,97839.5308,35582.5676,4940920.0,4891976.54,0
122,688160.SH,20231124,64.75,2.195,7.5825,0.67,59.7328,79.6539,7.4367,10.0852,10.6183,,,8400.0,8400.0,2431.6935,543900.0,543900.0,0
123,600713.SH,20231124,5.2,1.1288,2.0642,1.66,11.4379,12.0433,1.0829,0.1357,0.1278,2.3052,2.6925,131023.1012,104161.1244,56960.0295,681320.1262,541637.8469,0
124,002213.SZ,20231124,15.04,2.8731,3.5686,0.52,223.1475,,5.5767,4.2557,4.9563,0.0,,23708.22,20600.0,16585.3485,356571.6288,309824.0,0
125,603071.SH,20231124,15.23,0.7758,1.1417,1.3,7.9998,7.6722,1.7216,0.1539,0.1861,3.9396,5.2528,55795.4442,23768.4798,16150.0481,849764.6152,361993.9474,0
126,300742.SZ,20231124,5.0,3.5038,4.407,0.85,,,,4.9649,4.004,0.0,,14129.7426,11516.8718,9156.5149,70648.713,57584.359,0
127,000531.SZ,20231124,6.89,0.4256,1.0119,0.83,,27.413,1.0859,1.4405,1.2543,2.1771,1.016,82209.9384,82209.9384,34579.6255,566426.4756,566426.4756,0
128,920169.BJ,20231124,6.91,15.2772,26.9431,1.97,15.3929,26.6011,1.8528,2.8319,3.1904,,,8271.469,4788.899,2715.399,57155.8508,33091.2921,0
129,300111.SZ,20231124,3.33,3.4625,4.3019,1.7,,112.9818,6.2992,12.7625,11.9932,0.0,,128721.0714,111980.0,90130.1583,428641.1678,372893.4,0
130,300607.SZ,20231124,16.03,4.2585,4.9897,0.63,42.6515,45.8837,2.864,1.3664,1.3807,0.1563,0.4413,42483.0186,28522.5201,24342.7153,681002.7882,457215.9972,0
131,002011.SZ,20231124,12.28,1.2067,1.9874,1.23,15.4651,19.1495,3.0826,1.2792,1.1449,0.0,,105662.6982,91500.5508,55557.6092,1297537.9339,1123626.7638,0
132,601998.SH,20231124,5.45,0.0554,0.6303,0.92,4.2972,4.0171,0.4565,1.2624,1.288,5.5361,6.0367,4896686.5954,3408470.2977,299830.5144,26686941.9449,18576163.1225,0
133,002413.SZ,20231124,6.05,4.3293,4.3293,0.67,,,1.8772,5.9463,6.8278,0.0,,134034.5016,125054.7563,125054.7563,810908.7347,756581.2756,0
134,300145.SZ,20231124,3.16,2.1777,3.205,0.82,52.5777,30.7771,2.5503,1.1538,1.1193,0.0,,192210.0236,189359.7187,128661.3953,607383.6746,598376.7111,0
135,002690.SZ,20231124,19.4,1.2889,1.8711,1.49,23.4446,23.2462,6.6177,8.0846,7.5248,3.17,3.6089,88233.04,43184.2467,29747.6742,1711720.976,837774.386,0
136,002244.SZ,20231124,8.59,1.3462,3.347,1.1,7.1444,6.4292,1.0591,0.644,0.3929,2.631,2.9104,311144.389,268235.374,107885.1218,2672730.3015,2304141.8627,0
137,300753.SZ,20231124,18.44,3.1021,3.6487,1.07,,,3.3473,7.1781,5.7357,0.0,,12604.8,8099.4937,6886.0002,232432.512,149354.6638,0
138,605155.SH,20231124,16.44,2.9122,2.9122,1.27,27.4348,24.3471,1.8737,4.5099,3.8518,1.1942,1.1942,13691.5,4683.7,4683.7,225088.26,77000.028,0
139,300037.SZ,20231124,43.07,0.435,0.5084,0.64,18.3612,29.0011,3.7461,3.342,4.0793,0.8687,1.1514,74962.3897,54217.3559,46389.3143,3228630.1244,2335141.5186,0
140,002060.SZ,20231124,5.14,0.5744,0.9165,0.78,49.363,17.7341,1.566,1.1416,0.3292,0.4859,2.6379,375439.3242,120209.6043,75340.1903,1929758.1264,617877.3661,0
141,002877.SZ,20231124,10.13,1.8644,2.5901,0.6,42.8179,31.3819,3.2521,4.1517,3.5507,0.4643,0.325,35348.9969,20847.4196,15005.9336,358085.3386,211184.3605,0
142,002250.SZ,20231124,7.76,1.9279,2.5882,1.56,10.2813,25.6824,1.0489,0.9109,1.0261,0.6443,1.2887,92324.6256,91932.0145,68478.4292,716439.0947,713392.4325,0
